IMD_Score,patient_count,pct_of_patients,cumulative_patients,cumulative_pct
10936,1,0.0,542503,50.09
10942,534,0.05,543037,50.14
10946,1,0.0,543038,50.14
10947,1,0.0,543039,50.14
10952,1,0.0,543040,50.14
10958,1,0.0,543041,50.14
10970,1,0.0,543042,50.14
10983,1,0.0,543043,50.14
10988,1,0.0,543044,50.14
11011,1,0.0,543045,50.14
11019,7,0.0,543052,50.14
11025,4,0.0,543056,50.14
11037,4,0.0,543060,50.14
11044,3,0.0,543063,50.14
11045,1227,0.11,544290,50.25
11046,2,0.0,544292,50.25
11068,1,0.0,544293,50.25
11082,1,0.0,544294,50.25
11083,1,0.0,544295,50.25
11105,1,0.0,544296,50.25
11107,3,0.0,544299,50.25
11117,1,0.0,544300,50.25
11122,791,0.07,545091,50.33
11148,1,0.0,545092,50.33
11173,2149,0.2,547241,50.52
11193,372,0.03,547613,50.56
11201,535,0.05,548148,50.61
11203,86,0.01,548234,50.62
11204,1,0.0,548235,50.62
11205,1,0.0,548236,50.62
11211,483,0.04,548719,50.66
11227,771,0.07,549490,50.73
11230,7,0.0,549497,50.73
11232,555,0.05,550052,50.78
11266,1,0.0,550053,50.78
11284,501,0.05,550554,50.83
11286,2,0.0,550556,50.83
11296,1,0.0,550557,50.83
11310,1,0.0,550558,50.83
11320,1,0.0,550559,50.83
11325,585,0.05,551144,50.88
11330,406,0.04,551550,50.92
11331,1,0.0,551551,50.92
11332,2,0.0,551553,50.92
11333,555,0.05,552108,50.97
11336,626,0.06,552734,51.03
11337,1,0.0,552735,51.03
11340,9,0.0,552744,51.03
11344,1,0.0,552745,51.03
11367,28,0.0,552773,51.04
11369,3,0.0,552776,51.04
11375,1,0.0,552777,51.04
11377,528,0.05,553305,51.08
11379,745,0.07,554050,51.15
11403,603,0.06,554653,51.21
11420,2,0.0,554655,51.21
11431,4,0.0,554659,51.21
11435,2,0.0,554661,51.21
11438,3,0.0,554664,51.21
11443,767,0.07,555431,51.28
11445,841,0.08,556272,51.36
11454,718,0.07,556990,51.42
11468,673,0.06,557663,51.49
11474,973,0.09,558636,51.58
11476,2,0.0,558638,51.58
11477,1955,0.18,560593,51.76
11482,463,0.04,561056,51.8
11496,537,0.05,561593,51.85
11508,1,0.0,561594,51.85
11513,2,0.0,561596,51.85
11531,1,0.0,561597,51.85
11538,521,0.05,562118,51.9
11545,1,0.0,562119,51.9
11564,1,0.0,562120,51.9
11571,1,0.0,562121,51.9
11572,831,0.08,562952,51.98
11580,1,0.0,562953,51.98
11594,1,0.0,562954,51.98
11600,1,0.0,562955,51.98
11613,1,0.0,562956,51.98
11630,638,0.06,563594,52.03
11637,1,0.0,563595,52.03
11639,1,0.0,563596,52.03
11645,2,0.0,563598,52.03
11655,1,0.0,563599,52.03
11662,514,0.05,564113,52.08
11664,2,0.0,564115,52.08
11669,551,0.05,564666,52.13
11683,574,0.05,565240,52.19
11684,4,0.0,565244,52.19
11685,43,0.0,565287,52.19
11691,619,0.06,565906,52.25
11693,1,0.0,565907,52.25
11725,1,0.0,565908,52.25
11740,2,0.0,565910,52.25
11746,1,0.0,565911,52.25
11747,1,0.0,565912,52.25
11758,32,0.0,565944,52.25
11760,1,0.0,565945,52.25
11761,9,0.0,565954,52.25
11764,2,0.0,565956,52.25
11767,1,0.0,565957,52.25
11788,1,0.0,565958,52.25
11792,1,0.0,565959,52.25
11795,1,0.0,565960,52.25
11798,1,0.0,565961,52.25
11804,2,0.0,565963,52.25
11805,74,0.01,566037,52.26
11809,555,0.05,566592,52.31
11819,1,0.0,566593,52.31
11820,570,0.05,567163,52.36
11837,1,0.0,567164,52.36
11846,2,0.0,567166,52.36
11867,2,0.0,567168,52.36
11869,3,0.0,567171,52.36
11877,1,0.0,567172,52.36
11878,2,0.0,567174,52.36
11888,1,0.0,567175,52.37
11893,1,0.0,567176,52.37
11896,4,0.0,567180,52.37
11898,394,0.04,567574,52.4
11915,931,0.09,568505,52.49
11932,1,0.0,568506,52.49
11945,2,0.0,568508,52.49
11946,500,0.05,569008,52.53
11961,789,0.07,569797,52.61
11969,1148,0.11,570945,52.71
11971,3,0.0,570948,52.71
12008,6,0.0,570954,52.71
12010,1,0.0,570955,52.71
12017,2,0.0,570957,52.71
12021,2,0.0,570959,52.71
12039,6,0.0,570965,52.71
12042,978,0.09,571943,52.81
12057,1,0.0,571944,52.81
12071,1,0.0,571945,52.81
12074,1,0.0,571946,52.81
12080,1,0.0,571947,52.81
12085,10,0.0,571957,52.81
12087,1,0.0,571958,52.81
12089,548,0.05,572506,52.86
12098,1,0.0,572507,52.86
12103,449,0.04,572956,52.9
12128,607,0.06,573563,52.95
12154,1,0.0,573564,52.95
12156,1,0.0,573565,52.95
12173,1,0.0,573566,52.96
12174,1,0.0,573567,52.96
12176,1,0.0,573568,52.96
12199,678,0.06,574246,53.02
12201,685,0.06,574931,53.08
12210,2,0.0,574933,53.08
12216,1,0.0,574934,53.08
12225,2,0.0,574936,53.08
12228,1,0.0,574937,53.08
12232,2,0.0,574939,53.08
12252,1,0.0,574940,53.08
12301,5,0.0,574945,53.08
12303,1,0.0,574946,53.08
12306,1,0.0,574947,53.08
12308,30,0.0,574977,53.09
12310,1,0.0,574978,53.09
12312,515,0.05,575493,53.13
12326,3,0.0,575496,53.13
12340,1,0.0,575497,53.13
12344,554,0.05,576051,53.18
12349,1,0.0,576052,53.18
12358,511,0.05,576563,53.23
12362,810,0.07,577373,53.31
12379,1,0.0,577374,53.31
12390,1,0.0,577375,53.31
12392,1,0.0,577376,53.31
12402,1,0.0,577377,53.31
12413,1,0.0,577378,53.31
12416,2,0.0,577380,53.31
12428,1,0.0,577381,53.31
12432,1,0.0,577382,53.31
12456,1,0.0,577383,53.31
12468,1,0.0,577384,53.31
12478,782,0.07,578166,53.38
12479,1,0.0,578167,53.38
12488,1,0.0,578168,53.38
12499,1,0.0,578169,53.38
12504,1,0.0,578170,53.38
12555,1,0.0,578171,53.38
12556,759,0.07,578930,53.45
12567,27,0.0,578957,53.45
12570,1,0.0,578958,53.45
12575,803,0.07,579761,53.53
12599,1,0.0,579762,53.53
12604,681,0.06,580443,53.59
12609,533,0.05,580976,53.64
12641,1,0.0,580977,53.64
12673,794,0.07,581771,53.71
12690,1,0.0,581772,53.71
12700,2,0.0,581774,53.71
12704,1,0.0,581775,53.71
12711,2,0.0,581777,53.71
12723,3,0.0,581780,53.71
12727,659,0.06,582439,53.77
12730,694,0.06,583133,53.84
12734,1,0.0,583134,53.84
12742,1,0.0,583135,53.84
12743,1,0.0,583136,53.84
12745,709,0.07,583845,53.9
12748,563,0.05,584408,53.96
12757,1,0.0,584409,53.96
12761,821,0.08,585230,54.03
12787,1,0.0,585231,54.03
12813,2,0.0,585233,54.03
12821,1,0.0,585234,54.03
12842,397,0.04,585631,54.07
12852,2,0.0,585633,54.07
12861,1001,0.09,586634,54.16
12866,1,0.0,586635,54.16
12877,1,0.0,586636,54.16
12880,508,0.05,587144,54.21
12883,1,0.0,587145,54.21
12886,1,0.0,587146,54.21
12890,2,0.0,587148,54.21
12897,2,0.0,587150,54.21
12904,4,0.0,587154,54.21
12912,1,0.0,587155,54.21
12924,1,0.0,587156,54.21
12929,500,0.05,587656,54.26
12959,5,0.0,587661,54.26
12960,2,0.0,587663,54.26
12976,1,0.0,587664,54.26
12989,566,0.05,588230,54.31
12990,1,0.0,588231,54.31
12991,18,0.0,588249,54.31
12998,2,0.0,588251,54.31
12999,1,0.0,588252,54.31
13010,1,0.0,588253,54.31
13016,909,0.08,589162,54.39
13018,1,0.0,589163,54.4
13019,527,0.05,589690,54.44
13020,884,0.08,590574,54.53
13050,640,0.06,591214,54.58
13058,622,0.06,591836,54.64
13067,1,0.0,591837,54.64
13074,34,0.0,591871,54.65
13083,812,0.07,592683,54.72
13086,769,0.07,593452,54.79
13095,814,0.08,594266,54.87
13111,1,0.0,594267,54.87
13115,534,0.05,594801,54.92
13116,2,0.0,594803,54.92
13122,1,0.0,594804,54.92
13133,1,0.0,594805,54.92
13138,1,0.0,594806,54.92
13148,485,0.04,595291,54.96
13157,841,0.08,596132,55.04
13192,751,0.07,596883,55.11
13205,600,0.06,597483,55.16
13208,1,0.0,597484,55.16
13210,3,0.0,597487,55.16
13215,1,0.0,597488,55.16
13218,1,0.0,597489,55.16
13228,34,0.0,597523,55.17
13233,1,0.0,597524,55.17
13254,2,0.0,597526,55.17
13259,1,0.0,597527,55.17
13260,404,0.04,597931,55.2
13269,1,0.0,597932,55.2
13287,1,0.0,597933,55.2
13298,574,0.05,598507,55.26
13328,1299,0.12,599806,55.38
13339,596,0.06,600402,55.43
13365,1,0.0,600403,55.43
13366,1,0.0,600404,55.43
13373,867,0.08,601271,55.51
13376,4,0.0,601275,55.51
13384,2,0.0,601277,55.51
13388,774,0.07,602051,55.58
13396,563,0.05,602614,55.64
13402,1,0.0,602615,55.64
13406,3,0.0,602618,55.64
13408,7,0.0,602625,55.64
13409,1,0.0,602626,55.64
13421,1,0.0,602627,55.64
13424,1,0.0,602628,55.64
13427,1,0.0,602629,55.64
