event_count,patient_count,cumulative_patients,cumulative_pct
1901,24,168370,85.21
1902,23,168393,85.22
1903,38,168431,85.24
1904,31,168462,85.25
1905,28,168490,85.27
1906,31,168521,85.28
1907,21,168542,85.29
1908,30,168572,85.31
1909,28,168600,85.32
1910,24,168624,85.34
1911,17,168641,85.34
1912,34,168675,85.36
1913,26,168701,85.37
1914,30,168731,85.39
1915,26,168757,85.4
1916,23,168780,85.41
1917,34,168814,85.43
1918,22,168836,85.44
1919,26,168862,85.46
1920,32,168894,85.47
1921,22,168916,85.48
1922,23,168939,85.5
1923,28,168967,85.51
1924,23,168990,85.52
1925,34,169024,85.54
1926,25,169049,85.55
1927,22,169071,85.56
1928,33,169104,85.58
1929,18,169122,85.59
1930,32,169154,85.6
1931,31,169185,85.62
1932,24,169209,85.63
1933,26,169235,85.64
1934,23,169258,85.66
1935,25,169283,85.67
1936,26,169309,85.68
1937,24,169333,85.69
1938,28,169361,85.71
1939,31,169392,85.72
1940,29,169421,85.74
1941,29,169450,85.75
1942,32,169482,85.77
1943,34,169516,85.79
1944,34,169550,85.8
1945,28,169578,85.82
1946,23,169601,85.83
1947,33,169634,85.85
1948,25,169659,85.86
1949,25,169684,85.87
1950,24,169708,85.88
1951,30,169738,85.9
1952,24,169762,85.91
1953,35,169797,85.93
1954,30,169827,85.94
1955,25,169852,85.96
1956,28,169880,85.97
1957,26,169906,85.98
1958,35,169941,86.0
1959,27,169968,86.02
1960,34,170002,86.03
1961,40,170042,86.05
1962,31,170073,86.07
1963,25,170098,86.08
1964,31,170129,86.1
1965,34,170163,86.11
1966,28,170191,86.13
1967,26,170217,86.14
1968,23,170240,86.15
1969,21,170261,86.16
1970,25,170286,86.18
1971,26,170312,86.19
1972,20,170332,86.2
1973,23,170355,86.21
1974,18,170373,86.22
1975,24,170397,86.23
1976,23,170420,86.24
1977,34,170454,86.26
1978,27,170481,86.28
1979,20,170501,86.29
1980,20,170521,86.3
1981,30,170551,86.31
1982,32,170583,86.33
1983,35,170618,86.34
1984,20,170638,86.35
1985,24,170662,86.37
1986,24,170686,86.38
1987,31,170717,86.39
1988,20,170737,86.4
1989,22,170759,86.42
1990,28,170787,86.43
1991,24,170811,86.44
1992,27,170838,86.46
1993,21,170859,86.47
1994,18,170877,86.48
1995,24,170901,86.49
1996,25,170926,86.5
1997,23,170949,86.51
1998,21,170970,86.52
1999,31,171001,86.54
2000,29,171030,86.55
2001,23,171053,86.56
2002,34,171087,86.58
2003,20,171107,86.59
2004,23,171130,86.6
2005,24,171154,86.62
2006,28,171182,86.63
2007,19,171201,86.64
2008,21,171222,86.65
2009,22,171244,86.66
2010,30,171274,86.68
2011,21,171295,86.69
2012,19,171314,86.7
2013,31,171345,86.71
2014,26,171371,86.73
2015,24,171395,86.74
2016,22,171417,86.75
2017,24,171441,86.76
2018,25,171466,86.77
2019,37,171503,86.79
2020,24,171527,86.8
2021,17,171544,86.81
2022,19,171563,86.82
2023,29,171592,86.84
2024,21,171613,86.85
2025,25,171638,86.86
2026,24,171662,86.87
2027,26,171688,86.89
2028,29,171717,86.9
2029,28,171745,86.92
2030,22,171767,86.93
2031,25,171792,86.94
2032,26,171818,86.95
2033,33,171851,86.97
2034,27,171878,86.98
2035,23,171901,86.99
2036,29,171930,87.01
2037,29,171959,87.02
2038,16,171975,87.03
2039,21,171996,87.04
2040,28,172024,87.06
2041,26,172050,87.07
2042,30,172080,87.08
2043,39,172119,87.1
2044,21,172140,87.11
2045,31,172171,87.13
2046,24,172195,87.14
2047,23,172218,87.15
2048,19,172237,87.16
2049,26,172263,87.18
2050,27,172290,87.19
2051,18,172308,87.2
2052,28,172336,87.21
2053,22,172358,87.23
2054,31,172389,87.24
2055,25,172414,87.25
2056,24,172438,87.27
2057,25,172463,87.28
2058,19,172482,87.29
2059,22,172504,87.3
2060,28,172532,87.31
2061,22,172554,87.32
2062,31,172585,87.34
2063,18,172603,87.35
2064,25,172628,87.36
2065,31,172659,87.38
2066,29,172688,87.39
2067,31,172719,87.41
2068,32,172751,87.42
2069,27,172778,87.44
2070,18,172796,87.45
2071,26,172822,87.46
2072,27,172849,87.47
2073,18,172867,87.48
2074,26,172893,87.5
2075,22,172915,87.51
2076,23,172938,87.52
2077,24,172962,87.53
2078,20,172982,87.54
2079,20,173002,87.55
2080,15,173017,87.56
2081,18,173035,87.57
2082,24,173059,87.58
2083,23,173082,87.59
2084,24,173106,87.6
2085,22,173128,87.61
2086,19,173147,87.62
2087,29,173176,87.64
2088,18,173194,87.65
2089,25,173219,87.66
2090,30,173249,87.68
2091,25,173274,87.69
2092,25,173299,87.7
2093,18,173317,87.71
2094,25,173342,87.72
2095,33,173375,87.74
2096,25,173400,87.75
2097,17,173417,87.76
2098,27,173444,87.77
2099,22,173466,87.79
2100,17,173483,87.79
2101,22,173505,87.81
2102,29,173534,87.82
2103,30,173564,87.84
2104,23,173587,87.85
2105,22,173609,87.86
2106,18,173627,87.87
2107,25,173652,87.88
2108,20,173672,87.89
2109,26,173698,87.9
2110,25,173723,87.92
2111,23,173746,87.93
2112,27,173773,87.94
2113,22,173795,87.95
2114,26,173821,87.97
2115,26,173847,87.98
2116,24,173871,87.99
2117,29,173900,88.01
2118,15,173915,88.01
2119,18,173933,88.02
2120,16,173949,88.03
2121,22,173971,88.04
2122,11,173982,88.05
2123,25,174007,88.06
2124,24,174031,88.07
2125,26,174057,88.09
2126,21,174078,88.1
2127,25,174103,88.11
2128,22,174125,88.12
2129,24,174149,88.13
2130,23,174172,88.14
2131,20,174192,88.15
2132,20,174212,88.16
2133,21,174233,88.17
2134,16,174249,88.18
2135,26,174275,88.2
2136,24,174299,88.21
2137,20,174319,88.22
2138,23,174342,88.23
2139,27,174369,88.24
2140,28,174397,88.26
2141,15,174412,88.26
2142,14,174426,88.27
2143,19,174445,88.28
2144,15,174460,88.29
2145,27,174487,88.3
2146,30,174517,88.32
2147,18,174535,88.33
2148,19,174554,88.34
2149,14,174568,88.34
2150,20,174588,88.35
2151,14,174602,88.36
2152,20,174622,88.37
2153,24,174646,88.38
2154,19,174665,88.39
2155,22,174687,88.4
2156,18,174705,88.41
2157,22,174727,88.42
2158,20,174747,88.43
2159,18,174765,88.44
2160,22,174787,88.45
2161,23,174810,88.47
2162,21,174831,88.48
2163,25,174856,88.49
2164,28,174884,88.5
2165,22,174906,88.51
2166,26,174932,88.53
2167,22,174954,88.54
2168,23,174977,88.55
2169,20,174997,88.56
2170,23,175020,88.57
2171,28,175048,88.59
2172,8,175056,88.59
2173,21,175077,88.6
2174,19,175096,88.61
2175,20,175116,88.62
2176,27,175143,88.63
2177,21,175164,88.65
2178,24,175188,88.66
2179,28,175216,88.67
2180,21,175237,88.68
2181,31,175268,88.7
2182,16,175284,88.71
2183,16,175300,88.71
2184,19,175319,88.72
2185,20,175339,88.73
2186,19,175358,88.74
2187,18,175376,88.75
2188,18,175394,88.76
2189,30,175424,88.78
2190,27,175451,88.79
2191,26,175477,88.8
2192,24,175501,88.82
2193,24,175525,88.83
2194,14,175539,88.84
2195,24,175563,88.85
2196,26,175589,88.86
2197,26,175615,88.87
2198,19,175634,88.88
2199,12,175646,88.89
2200,26,175672,88.9
2201,15,175687,88.91
2202,27,175714,88.92
2203,24,175738,88.94
2204,13,175751,88.94
2205,15,175766,88.95
2206,18,175784,88.96
2207,22,175806,88.97
2208,19,175825,88.98
2209,35,175860,89.0
2210,18,175878,89.01
2211,23,175901,89.02
2212,20,175921,89.03
2213,28,175949,89.04
2214,25,175974,89.06
2215,16,175990,89.06
2216,23,176013,89.07
2217,14,176027,89.08
2218,24,176051,89.09
2219,21,176072,89.1
2220,22,176094,89.12
2221,16,176110,89.12
2222,14,176124,89.13
2223,12,176136,89.14
2224,27,176163,89.15
2225,17,176180,89.16
2226,21,176201,89.17
2227,17,176218,89.18
2228,22,176240,89.19
2229,22,176262,89.2
2230,22,176284,89.21
2231,21,176305,89.22
2232,18,176323,89.23
2233,21,176344,89.24
2234,22,176366,89.25
2235,20,176386,89.26
2236,22,176408,89.27
2237,26,176434,89.29
2238,21,176455,89.3
2239,23,176478,89.31
2240,17,176495,89.32
2241,19,176514,89.33
2242,13,176527,89.34
2243,18,176545,89.34
2244,17,176562,89.35
2245,13,176575,89.36
2246,25,176600,89.37
2247,9,176609,89.38
2248,18,176627,89.39
2249,22,176649,89.4
2250,20,176669,89.41
2251,16,176685,89.42
2252,19,176704,89.42
2253,22,176726,89.44
2254,22,176748,89.45
2255,17,176765,89.46
2256,25,176790,89.47
2257,23,176813,89.48
2258,15,176828,89.49
2259,19,176847,89.5
2260,29,176876,89.51
2261,21,176897,89.52
2262,16,176913,89.53
2263,21,176934,89.54
2264,17,176951,89.55
2265,23,176974,89.56
2266,22,176996,89.57
2267,19,177015,89.58
2268,14,177029,89.59
2269,17,177046,89.6
2270,23,177069,89.61
2271,17,177086,89.62
2272,21,177107,89.63
2273,18,177125,89.64
2274,24,177149,89.65
2275,24,177173,89.66
2276,16,177189,89.67
2277,16,177205,89.68
2278,12,177217,89.68
2279,21,177238,89.69
2280,24,177262,89.71
2281,14,177276,89.71
2282,23,177299,89.73
2283,27,177326,89.74
2284,18,177344,89.75
2285,19,177363,89.76
2286,19,177382,89.77
2287,19,177401,89.78
2288,29,177430,89.79
2289,24,177454,89.8
2290,12,177466,89.81
2291,18,177484,89.82
2292,22,177506,89.83
2293,22,177528,89.84
2294,18,177546,89.85
2295,13,177559,89.86
2296,20,177579,89.87
2297,22,177601,89.88
2298,28,177629,89.89
2299,19,177648,89.9
2300,18,177666,89.91
2301,17,177683,89.92
2302,20,177703,89.93
2303,26,177729,89.94
2304,17,177746,89.95
2305,17,177763,89.96
2306,19,177782,89.97
2307,24,177806,89.98
2308,26,177832,90.0
2309,20,177852,90.01
2310,19,177871,90.02
2311,17,177888,90.02
2312,23,177911,90.04
2313,17,177928,90.04
2314,23,177951,90.06
2315,21,177972,90.07
2316,17,177989,90.07
2317,23,178012,90.09
2318,19,178031,90.1
2319,17,178048,90.1
2320,25,178073,90.12
2321,24,178097,90.13
2322,18,178115,90.14
2323,14,178129,90.15
2324,18,178147,90.15
2325,22,178169,90.17
2326,19,178188,90.18
2327,15,178203,90.18
2328,22,178225,90.19
2329,24,178249,90.21
2330,19,178268,90.22
2331,21,178289,90.23
2332,17,178306,90.24
2333,21,178327,90.25
2334,13,178340,90.25
2335,20,178360,90.26
2336,18,178378,90.27
2337,12,178390,90.28
2338,20,178410,90.29
2339,16,178426,90.3
2340,13,178439,90.3
2341,19,178458,90.31
2342,21,178479,90.32
2343,15,178494,90.33
2344,13,178507,90.34
2345,25,178532,90.35
2346,25,178557,90.36
2347,25,178582,90.38
2348,13,178595,90.38
2349,13,178608,90.39
2350,16,178624,90.4
2351,14,178638,90.4
2352,13,178651,90.41
2353,20,178671,90.42
2354,23,178694,90.43
2355,20,178714,90.44
2356,20,178734,90.45
2357,11,178745,90.46
2358,24,178769,90.47
2359,12,178781,90.48
2360,21,178802,90.49
2361,15,178817,90.49
2362,10,178827,90.5
2363,17,178844,90.51
2364,28,178872,90.52
2365,14,178886,90.53
2366,13,178899,90.54
2367,16,178915,90.54
2368,16,178931,90.55
2369,18,178949,90.56
2370,15,178964,90.57
2371,16,178980,90.58
2372,21,179001,90.59
2373,16,179017,90.6
2374,23,179040,90.61
2375,14,179054,90.61
2376,14,179068,90.62
2377,19,179087,90.63
2378,14,179101,90.64
2379,17,179118,90.65
2380,17,179135,90.65
2381,25,179160,90.67
2382,12,179172,90.67
2383,22,179194,90.68
2384,17,179211,90.69
2385,21,179232,90.7
2386,18,179250,90.71
2387,14,179264,90.72
2388,16,179280,90.73
2389,25,179305,90.74
2390,16,179321,90.75
